productId,productMercantId,merchantId,provinceCnName,mainProductId,isYiHaoDian,cutoffTimeKey,isRuleType,mcSiteKey,categoryId,experoienceProductId,productType,isShengxianProd,newBrandLogoUrl,currProductClass,topCategoryId,yingyangTabSwith,brandID,backCategoryId,storeId,pointSiteKey,lastCategory,onlineCustomUserId,yhdFreshFoodKeyId,isSecondHandProduct,isFbyProd,urlProductId,companyName,detailOldForNewService,brandName,oneKeyGoDomain,threeAreas,hasStockNum,isCanSale,combinePositionKey,product_amount
1440699,1633238,1,上海,1440699,1,1,-1,3,5073,1440699,0,0,http://d6.yihaodianimg.com/N02/M08/0B/04/CgQCslKUU6qAUz1fAAAknr0DBdg859.jpg,5009,5009,1,6071,5073,1,0,牙膏,0,1,0,0,1440699,1号店,0,云南白药,,0,113,1,0,1
4831,66161,1,上海,4831,1,1,-1,3,5073,4831,0,0,http://d6.yihaodianimg.com/N02/M07/28/91/CgQCsFK375yAFEh0AABqW7_DzpM607.jpg,5009,5009,1,142,5073,1,0,牙膏,0,1,0,0,4831,1号店,0,黑人,,0,1028,1,0,1
32307,101757,1,上海,32307,1,1,-1,3,5073,32307,0,0,http://d6.yihaodianimg.com/N04/M05/CE/4B/CgQDr1KYS6mAfw5ZAABX0hhA3tc740.jpg,5009,5009,1,1471,5073,1,0,牙膏,0,1,0,0,32307,1号店,0,狮王,,0,500,1,0,1
2249912,2451104,1,上海,2249912,1,1,-1,3,5073,2249912,0,0,http://d6.yihaodianimg.com/N04/M03/E1/75/CgQDr1Kxc6eAAeVAAABe-Jvu7jg267.jpg,5009,5009,1,385,5073,1,0,牙膏,0,1,0,0,2249912,1号店,0,佳洁士,,0,62,1,0,1
5738332,6768477,1,上海,5738332,1,1,-1,3,5073,5738332,0,0,http://d6.yihaodianimg.com/N04/M03/E1/75/CgQDr1Kxc6eAAeVAAABe-Jvu7jg267.jpg,5009,5009,1,385,5073,1,0,牙膏,0,1,0,0,5738332,1号店,0,佳洁士,,0,483,1,0,1
15518671,17763252,1,上海,15518671,1,1,-1,3,5073,15518671,3,0,http://d6.yihaodianimg.com/N02/M01/0B/B0/CgQCsVKVUoOAJPFBAAATd3B5kaU717.jpg,5009,5009,1,1437,5073,1,0,牙膏,0,1,0,0,15518671,1号店,0,竹盐,,0,2282,1,0,1
976509,1010557,1,上海,976509,1,1,0,3,5073,976509,0,0,http://d6.yihaodianimg.com/N02/M07/28/91/CgQCsFK375yAFEh0AABqW7_DzpM607.jpg,5009,5009,1,142,5073,1,0,牙膏,0,1,0,0,976509,1号店,0,黑人,,0,1278,1,0,1
32308,101758,1,上海,32308,1,1,-1,3,5073,32308,0,0,http://d6.yihaodianimg.com/N04/M05/CE/4B/CgQDr1KYS6mAfw5ZAABX0hhA3tc740.jpg,5009,5009,1,1471,5073,1,0,牙膏,0,1,0,0,32308,1号店,0,狮王,,0,405,1,0,1
1062057,1201560,1,上海,1062057,1,1,-1,3,5073,1062057,0,0,http://d6.yihaodianimg.com/N02/M08/28/93/CgQCslK364iAe2N7AACH1PD3cAg150.jpg,5009,5009,1,911381,5073,1,0,牙膏,0,1,0,0,1062057,1号店,0,双莲,,0,427,1,0,1
8190033,9347718,1,上海,8190033,1,1,-1,3,5073,8190033,3,0,http://d6.yihaodianimg.com/N01/M02/28/6D/CgQCr1K37eyAAq1jAABki8RJTWQ603.jpg,5009,5009,1,8632,5073,1,0,牙膏,0,1,0,0,8190033,1号店,0,皓乐齿,,0,714,1,0,1
1150625,1332216,1,上海,1150625,1,1,-1,3,5073,1150625,0,0,,5009,5009,1,133,5073,1,0,牙膏,0,1,0,0,1150625,1号店,0,中华,,0,478,1,0,1
8771855,9953080,2606,上海,8771855,0,1,0,3,5073,8771855,0,0,http://d6.yihaodianimg.com/N02/M08/0B/04/CgQCslKUU6qAUz1fAAAknr0DBdg859.jpg,5009,5009,0,6071,5073,2606,0,牙膏,0,0,0,0,8771855,壹药网官方旗舰店,0,云南白药,,0,129,1,0,9576
1639765,1822534,1,上海,1639765,1,1,-1,3,5073,1639765,0,0,http://d6.yihaodianimg.com/N02/M07/28/91/CgQCsFK375yAFEh0AABqW7_DzpM607.jpg,5009,5009,1,142,5073,1,0,牙膏,0,1,0,0,1639765,1号店,0,黑人,,0,345,1,0,1
8000235,9153512,1,上海,8000235,1,1,-1,3,5073,8000235,0,0,,5009,5009,1,133,5073,1,0,牙膏,0,1,0,0,8000235,1号店,0,中华,,0,197,1,0,1
3298696,3457191,1,上海,3298696,1,1,-1,3,5073,3298696,0,0,http://d6.yihaodianimg.com/N02/M07/28/91/CgQCsFK375yAFEh0AABqW7_DzpM607.jpg,5009,5009,1,142,5073,1,0,牙膏,0,1,0,0,3298696,1号店,0,黑人,,0,504,1,0,1
5738345,6768503,1,上海,5738345,1,1,-1,3,5073,5738345,0,0,http://d6.yihaodianimg.com/N04/M03/E1/75/CgQDr1Kxc6eAAeVAAABe-Jvu7jg267.jpg,5009,5009,1,385,5073,1,0,牙膏,0,1,0,0,5738345,1号店,0,佳洁士,,0,19,1,0,1
6995254,8089083,1,上海,6995254,1,1,7,3,5073,6995254,0,0,http://d6.yihaodianimg.com/N04/M05/CE/4B/CgQDr1KYS6mAfw5ZAABX0hhA3tc740.jpg,5009,5009,1,1471,5073,1,0,牙膏,0,1,0,0,6995254,1号店,0,狮王,,0,220,1,0,1
16378866,18921969,35943,上海,16378866,0,1,-1,3,5073,16378866,0,0,,5009,5009,0,959913,5073,35943,0,牙膏,0,0,0,0,16378866,好药师健康馆,0,100年,,0,360,1,0,16167
1245194,1436834,1,上海,1245194,1,1,-1,3,5073,1245194,0,0,,5009,5009,1,133,5073,1,0,牙膏,0,1,0,0,1245194,1号店,0,中华,,0,206,1,0,1
16548835,19160984,1,上海,16548835,1,1,-1,3,5073,16548835,0,0,http://d6.yihaodianimg.com/N02/M07/28/91/CgQCsFK375yAFEh0AABqW7_DzpM607.jpg,5009,5009,1,142,5073,1,0,牙膏,0,1,0,0,16548835,1号店,0,黑人,,0,166,1,0,1
50318,111295,1,上海,50318,1,1,-1,3,5073,50318,0,0,,5009,5009,1,133,5073,1,0,牙膏,0,1,0,0,50318,1号店,0,中华,,0,382,1,0,1
14400270,16356081,1,上海,14400270,1,1,-1,3,5073,14400270,0,0,http://d6.yihaodianimg.com/N02/M00/3A/EF/CgQCsVLM2uaAZoNuAAAc5Uy8Y5M032.jpg,5009,5009,1,961563,5073,1,0,牙膏,0,1,0,0,14400270,1号店,0,Lavera/莱唯德,,0,79,1,0,1
9148651,10353301,1,上海,9148651,1,1,-1,3,5073,9148651,3,0,http://d6.yihaodianimg.com/N04/M00/D0/59/CgQDr1KcRfuAOPATAAB-ZwyeRys882.jpg,5009,5009,1,141,5073,1,0,牙膏,0,1,0,0,9148651,1号店,0,Colgate/高露洁,,0,625,1,0,1
14063808,15926111,1,上海,14063808,1,1,-1,3,5073,14063808,0,0,http://d6.yihaodianimg.com/N01/M05/2C/AF/CgQCrlK79fKASWxUAABk0wXNMc8826.jpg,5009,5009,1,2596,5073,1,0,牙膏,0,1,0,0,14063808,1号店,0,百龄,,0,421,1,0,1
2624870,2803064,1,上海,2624870,1,1,-1,3,5073,2624870,0,0,http://d6.yihaodianimg.com/N04/M00/D0/59/CgQDr1KcRfuAOPATAAB-ZwyeRys882.jpg,5009,5009,1,141,5073,1,0,牙膏,0,1,0,0,2624870,1号店,0,Colgate/高露洁,,0,1412,1,0,1
10246921,11526690,1,上海,10246921,1,1,-1,3,5073,10246921,3,0,,5009,5009,1,133,5073,1,0,牙膏,0,1,0,0,10246921,1号店,0,中华,,0,777,1,0,1
