jd_id,title,info,img_url
650871,闪辉12A1065,商品名称：闪辉12A1065;商品编号：650871;品牌：闪辉（Benefly）;上架时间：2012-12-12 09:21:20;商品毛重：440.00g;商品产地：中国大陆;配件类型：非原装笔记本配件;类别：电源适配器;适用机型：：笔记本,http://img11.360buyimg.com/n1/g5/M00/00/1A/rBEDik-_R1wIAAAAAAF_GWFwkXYAAAKXQLDrbYAAX8x145.jpg
650872,萃华金店吊坠,商品名称：萃华金店吊坠;商品编号：650872;品牌：萃华金店;上架时间：2012-05-25 14:17:33;商品毛重：80.00g;商品产地：中国大陆;是否镶嵌：否;类别：吊坠;款式：其他;材质：黄金;适用人群：女,http://img12.360buyimg.com/n1/g5/M01/02/1A/rBEIC0_VqIQIAAAAAACb2hlGRnoAAAjfgIxCQ4AAJvy711.jpg
650873,萃华金店戒指,商品名称：萃华金店戒指;商品编号：650873;品牌：萃华金店;上架时间：2012-05-25 14:17:33;商品毛重：30.00g;商品产地：中国大陆;是否镶嵌：否;材质：黄金;适用人群：男，女，情侣;圈号：活口,http://img13.360buyimg.com/n1/g5/M00/03/03/rBEIC0_YEUAIAAAAAAFOWZRHQOUAAAmswE0nCUAAU5x204.jpg
650874,萃华金店吊坠,商品名称：萃华金店吊坠;商品编号：650874;品牌：萃华金店;上架时间：2012-05-25 14:17:43;商品毛重：80.00g;商品产地：中国大陆;是否镶嵌：否;类别：吊坠;款式：其他;材质：黄金;适用人群：女,http://img14.360buyimg.com/n1/g5/M01/02/1A/rBEDik_VqH0IAAAAAAC61HPq2RAAAAjfgJlRUYAALrs461.jpg
650875,萃华金店女戒,商品名称：萃华金店女戒;商品编号：650875;品牌：萃华金店;上架时间：2012-05-25 14:17:44;商品毛重：30.00g;商品产地：中国大陆;是否镶嵌：否;材质：黄金;适用人群：女;圈号：活口,http://img10.360buyimg.com/n1/g5/M00/03/03/rBEDik_YETYIAAAAAAGayldAOWYAAAmswFCmuEAAZri499.jpg
650876,萃华金店手镯,商品名称：萃华金店手镯;商品编号：650876;品牌：萃华金店;上架时间：2012-05-25 14:17:44;商品毛重：80.00g;商品产地：中国大陆;类别：手镯;款式：婚庆，其他;材质：黄金,http://img11.360buyimg.com/n1/g5/M01/03/03/rBEIC0_YJ6cIAAAAAAEh9H2_-agAAAm4QPUOlAAASIM774.jpg
650877,萃华金店戒指,商品名称：萃华金店戒指;商品编号：650877;品牌：萃华金店;上架时间：2012-05-25 14:17:49;商品毛重：30.00g;商品产地：中国大陆;是否镶嵌：否;材质：黄金;适用人群：男，女，情侣;圈号：活口,http://img12.360buyimg.com/n1/g5/M00/03/03/rBEIC0_YEUUIAAAAAAFKagDzeQYAAAmswFrW6MAAUqC908.jpg
650878,萃华金店黄金项链,商品名称：萃华金店黄金项链;商品编号：650878;品牌：萃华金店;上架时间：2012-05-25 14:17:51;商品毛重：80.00g;商品产地：中国大陆;是否镶嵌：否;类别：项链;款式：其他;材质：黄金;适用人群：女,http://img13.360buyimg.com/n1/g5/M02/0A/00/rBEIC0_i5qsIAAAAAACGwphHqmIAAB9XgAWThwAAIba878.jpg
650879,萃华金店吊坠,商品名称：萃华金店吊坠;商品编号：650879;品牌：萃华金店;上架时间：2012-05-25 14:17:55;商品毛重：80.00g;商品产地：中国大陆;是否镶嵌：否;类别：吊坠;款式：其他;材质：黄金;适用人群：女,http://img14.360buyimg.com/n1/g5/M01/02/1A/rBEDik_VqIMIAAAAAAC3zWurORMAAAjfgK30dQAALfl099.jpg
650880,萃华金店吊坠,商品名称：萃华金店吊坠;商品编号：650880;品牌：萃华金店;上架时间：2012-05-25 14:17:56;商品毛重：80.00g;商品产地：中国大陆;是否镶嵌：否;类别：吊坠;款式：其他;材质：黄金;适用人群：女,http://img10.360buyimg.com/n1/g5/M01/02/1A/rBEIDE_VqJMIAAAAAAFHTPzXjFAAAAjfgLlPaEAAUdk956.jpg
650881,萃华金店手镯,商品名称：萃华金店手镯;商品编号：650881;品牌：萃华金店;上架时间：2012-05-25 14:18:00;商品毛重：80.00g;商品产地：中国大陆;类别：手镯;款式：生肖，婚庆，其他;材质：黄金,http://img11.360buyimg.com/n1/g5/M02/03/03/rBEIC0_YJ6sIAAAAAAErC_I7DpYAAAm4gAQngkAASsj533.jpg
650882,萃华金店女戒 ,商品名称：萃华金店女戒;商品编号：650882;品牌：萃华金店;上架时间：2012-05-25 14:18:05;商品毛重：30.00g;商品产地：中国大陆;是否镶嵌：否;材质：K金;适用人群：女;圈号：活口,http://img12.360buyimg.com/n1/g5/M00/03/03/rBEIC0_YEUgIAAAAAAGnu0beBIIAAAmswGEFsAAAafT202.jpg
650883,萃华金店戒指,商品名称：萃华金店戒指;商品编号：650883;品牌：萃华金店;上架时间：2012-05-25 14:18:05;商品毛重：30.00g;商品产地：中国大陆;是否镶嵌：否;材质：黄金;适用人群：男，女，情侣;圈号：活口,http://img13.360buyimg.com/n1/g5/M00/03/03/rBEDik_YET4IAAAAAAFM68FxlogAAAmswGk7O4AAU0D760.jpg
650884,萃华金店黄金项链,商品名称：萃华金店黄金项链;商品编号：650884;品牌：萃华金店;上架时间：2012-05-25 14:18:07;商品毛重：80.00g;商品产地：中国大陆;是否镶嵌：否;类别：项链;款式：其他;材质：黄金;适用人群：女,http://img14.360buyimg.com/n1/g5/M02/0A/00/rBEIDE_i5rUIAAAAAACGwphHqmIAAB9XgEQMKYAAIba775.jpg
650885,萃华金店吊坠,商品名称：萃华金店吊坠;商品编号：650885;品牌：萃华金店;上架时间：2012-05-25 14:18:09;商品毛重：80.00g;商品产地：中国大陆;是否镶嵌：否;类别：吊坠;款式：其他;材质：黄金;适用人群：女,http://img10.360buyimg.com/n1/g5/M01/02/1A/rBEDik_VqIwIAAAAAAC3zWurORMAAAjfgMSPpoAALfl180.jpg
